epsilon,n,min_val,max_val,b,noise,actual_sum,estimated_sum
1,8225871,0,9223372036854775807,9.223372036854776e+18,-5.877151443756884e+18,781899455983281,-5.8763695443009e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,1.5112429958027076e+19,781899455983281,1.511321185748306e+19
1,8225871,0,9223372036854775807,9.223372036854776e+18,5.837844643959878e+18,781899455983281,5.838626543415861e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,8.377247533736881e+18,781899455983281,8.378029433192865e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,2.5300595896689623e+19,781899455983281,2.5301377796145607e+19
1,8225871,0,9223372036854775807,9.223372036854776e+18,-9.108170003441953e+18,781899455983281,-9.107388103985969e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,-3.2709045864681378e+19,781899455983281,-3.2708263965225394e+19
1,8225871,0,9223372036854775807,9.223372036854776e+18,-8.57680173287438e+18,781899455983281,-8.576019833418397e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,-8.495208297709951e+17,781899455983281,-8.487389303150118e+17
1,8225871,0,9223372036854775807,9.223372036854776e+18,1.4127686512278284e+19,781899455983281,1.4128468411734268e+19
1,8225871,0,9223372036854775807,9.223372036854776e+18,5.430591433102274e+18,781899455983281,5.431373332558257e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,-1.88175896567031e+18,781899455983281,-1.8809770662143265e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,-5.184448115715877e+18,781899455983281,-5.183666216259893e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,2.1912897644433433e+19,781899455983281,2.1913679543889416e+19
1,8225871,0,9223372036854775807,9.223372036854776e+18,1.0435857881514314e+19,781899455983281,1.0436639780970297e+19
1,8225871,0,9223372036854775807,9.223372036854776e+18,2.839523977278852e+17,781899455983281,2.8473429718386848e+17
1,8225871,0,9223372036854775807,9.223372036854776e+18,-4.281923594665381e+18,781899455983281,-4.281141695209398e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,4.850813875762129e+18,781899455983281,4.851595775218113e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,-1.4786946977035244e+19,781899455983281,-1.478616507757926e+19
1,8225871,0,9223372036854775807,9.223372036854776e+18,-5.557756587048729e+18,781899455983281,-5.556974687592745e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,2.5569645992940134e+18,781899455983281,2.5577464987499965e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,1.3446398159420905e+18,781899455983281,1.3454217153980739e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,-3.947581526489616e+18,781899455983281,-3.946799627033633e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,-1.4409760595806867e+19,781899455983281,-1.4408978696350884e+19
1,8225871,0,9223372036854775807,9.223372036854776e+18,-8.739587150242651e+18,781899455983281,-8.738805250786668e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,-1.2223375896581955e+18,781899455983281,-1.221555690202212e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,-1.2294373303101841e+19,781899455983281,-1.2293591403645858e+19
1,8225871,0,9223372036854775807,9.223372036854776e+18,7.877831907629e+17,781899455983281,7.885650902188832e+17
1,8225871,0,9223372036854775807,9.223372036854776e+18,3.770663321289591e+18,781899455983281,3.771445220745574e+18
1,8225871,0,9223372036854775807,9.223372036854776e+18,-1.1849820003587922e+19,781899455983281,-1.1849038104131938e+19
1,8225871,0,9223372036854775807,9.223372036854776e+18,-8.066961276787853e+17,781899455983281,-8.05914228222802e+17
